payment_id,order_id,amount,payment_method,status
PAY-1001,ORD-1001,299,CARD,SUCCESS
PAY-1002,ORD-1002,999,WALLET,SUCCESS
PAY-1003,ORD-1003,799,CARD,FAILED
PAY-1004,ORD-1004,299,WALLET,SUCCESS
PAY-1005,ORD-1005,4999,NETBANKING,FAILED
PAY-1006,ORD-1006,1999,WALLET,SUCCESS
PAY-1007,ORD-1007,199,CARD,SUCCESS
PAY-1008,ORD-1008,799,UPI,SUCCESS
PAY-1009,ORD-1009,4999,CARD,SUCCESS
PAY-1010,ORD-1010,199,UPI,FAILED
PAY-1011,ORD-1011,799,UPI,SUCCESS
PAY-1012,ORD-1012,4999,UPI,SUCCESS
PAY-1013,ORD-1013,799,UPI,SUCCESS
PAY-1014,ORD-1014,999,NETBANKING,SUCCESS
PAY-1015,ORD-1015,199,CARD,SUCCESS
PAY-1016,ORD-1016,499,WALLET,SUCCESS
PAY-1017,ORD-1017,1999,WALLET,SUCCESS
PAY-1018,ORD-1018,999,CARD,SUCCESS
PAY-1019,ORD-1019,799,WALLET,SUCCESS
PAY-1020,ORD-1020,1499,WALLET,SUCCESS
PAY-1021,ORD-1021,299,UPI,SUCCESS
PAY-1022,ORD-1022,299,UPI,SUCCESS
PAY-1023,ORD-1023,1499,NETBANKING,SUCCESS
PAY-1024,ORD-1024,999,UPI,SUCCESS
PAY-1025,ORD-1025,199,CARD,SUCCESS
PAY-1026,ORD-1026,2499,CARD,SUCCESS
PAY-1027,ORD-1027,299,NETBANKING,SUCCESS
PAY-1028,ORD-1028,299,UPI,SUCCESS
PAY-1029,ORD-1029,999,UPI,SUCCESS
PAY-1030,ORD-1030,1499,UPI,SUCCESS
PAY-1031,ORD-1031,799,CARD,FAILED
PAY-1032,ORD-1032,299,WALLET,SUCCESS
PAY-1033,ORD-1033,799,WALLET,SUCCESS
PAY-1034,ORD-1034,999,CARD,SUCCESS
PAY-1035,ORD-1035,799,WALLET,SUCCESS
PAY-1036,ORD-1036,299,WALLET,SUCCESS
PAY-1037,ORD-1037,999,WALLET,SUCCESS
PAY-1038,ORD-1038,1499,NETBANKING,SUCCESS
PAY-1039,ORD-1039,1499,UPI,SUCCESS
PAY-1040,ORD-1040,799,UPI,SUCCESS
PAY-1041,ORD-1041,999,UPI,SUCCESS
PAY-1042,ORD-1042,299,WALLET,SUCCESS
PAY-1043,ORD-1043,499,CARD,SUCCESS
PAY-1044,ORD-1044,799,UPI,SUCCESS
PAY-1045,ORD-1045,2499,UPI,SUCCESS
PAY-1046,ORD-1046,999,CARD,SUCCESS
PAY-1047,ORD-1047,4999,CARD,SUCCESS
PAY-1048,ORD-1048,1499,UPI,SUCCESS
PAY-1049,ORD-1049,199,WALLET,SUCCESS
PAY-1050,ORD-1050,199,NETBANKING,SUCCESS
PAY-1051,ORD-1051,1499,CARD,SUCCESS
PAY-1052,ORD-1052,999,NETBANKING,SUCCESS
PAY-1053,ORD-1053,799,WALLET,SUCCESS
PAY-1054,ORD-1054,1499,NETBANKING,SUCCESS
PAY-1055,ORD-1055,2499,UPI,SUCCESS
PAY-1056,ORD-1056,2499,UPI,SUCCESS
PAY-1057,ORD-1057,999,CARD,SUCCESS
PAY-1058,ORD-1058,799,CARD,SUCCESS
PAY-1059,ORD-1059,4999,UPI,SUCCESS
PAY-1060,ORD-1060,999,NETBANKING,SUCCESS
PAY-1061,ORD-1061,1999,WALLET,SUCCESS
PAY-1062,ORD-1062,1999,NETBANKING,SUCCESS
PAY-1063,ORD-1063,799,UPI,SUCCESS
PAY-1064,ORD-1064,4999,NETBANKING,SUCCESS
PAY-1065,ORD-1065,299,UPI,SUCCESS
PAY-1066,ORD-1066,199,CARD,SUCCESS
PAY-1067,ORD-1067,299,UPI,SUCCESS
