settlement_id,payment_id,order_id,settlement_amount,settlement_status
SET-1001,PAY-1001,ORD-1001,299,SETTLED
SET-1002,PAY-1002,ORD-1002,999,SETTLED
SET-1003,PAY-1003,ORD-1003,799,SETTLED
SET-1004,PAY-1004,ORD-1004,299,SETTLED
SET-1005,PAY-1005,ORD-1005,4899,SETTLED
SET-1006,PAY-1006,ORD-1006,1999,SETTLED
SET-1007,PAY-1007,ORD-1007,199,SETTLED
SET-1008,PAY-1008,ORD-1008,799,SETTLED
SET-1009,PAY-1009,ORD-1009,4999,SETTLED
SET-1010,PAY-1010,ORD-1010,199,SETTLED
SET-1011,PAY-1011,ORD-1011,799,SETTLED
SET-1012,PAY-1012,ORD-1012,4999,SETTLED
SET-1013,PAY-1013,ORD-1013,799,SETTLED
SET-1014,PAY-1014,ORD-1014,999,SETTLED
SET-1015,PAY-1015,ORD-1015,199,SETTLED
SET-1016,PAY-1016,ORD-1016,499,SETTLED
SET-1017,PAY-1017,ORD-1017,1999,SETTLED
SET-1018,PAY-1018,ORD-1018,999,SETTLED
SET-1019,PAY-1019,ORD-1019,799,SETTLED
SET-1020,PAY-1020,ORD-1020,1499,SETTLED
SET-1021,PAY-1021,ORD-1021,299,SETTLED
SET-1022,PAY-1022,ORD-1022,299,SETTLED
SET-1023,PAY-1023,ORD-1023,1499,SETTLED
SET-1024,PAY-1024,ORD-1024,999,SETTLED
SET-1025,PAY-1025,ORD-1025,199,SETTLED
SET-1026,PAY-1026,ORD-1026,2499,SETTLED
SET-1027,PAY-1027,ORD-1027,299,SETTLED
SET-1028,PAY-1028,ORD-1028,299,SETTLED
SET-1029,PAY-1029,ORD-1029,999,SETTLED
SET-1030,PAY-1030,ORD-1030,1499,MISSING
SET-1031,PAY-1031,ORD-1031,799,SETTLED
SET-1032,PAY-1032,ORD-1032,299,SETTLED
SET-1033,PAY-1033,ORD-1033,799,SETTLED
SET-1034,PAY-1034,ORD-1034,999,SETTLED
SET-1035,PAY-1035,ORD-1035,799,SETTLED
SET-1036,PAY-1036,ORD-1036,299,SETTLED
SET-1037,PAY-1037,ORD-1037,999,SETTLED
SET-1038,PAY-1038,ORD-1038,1499,SETTLED
